discription,image_urls,price,product_name
"A beautiful amalgamation of kundan and yellow pearls, this neckpiece will see you through your afternoon soirees to your cocktail evenings. Features a neat setting of pearls and kundan ","https://img.faballey.com/images/Product/ZNS00048/d3.jpg,https://img.faballey.com/images/Product/ZNS00048/d4.jpg,https://img.faballey.com/images/Product/ZNS00048/d5.jpg,https://img.faballey.com/images/Product/ZNS00048/d6.jpg", 2000,Gold Kundan Multi Pearl String Earring Necklace Set
"Set the tone for subtle glamour with this kundan and green drop set. Features a necklace crafted out of pearls, kundan and delicate green beads along with matching earrings. ","https://img.faballey.com/images/Product/ZNS00047/d3.jpg,https://img.faballey.com/images/Product/ZNS00047/d4.jpg,https://img.faballey.com/images/Product/ZNS00047/d5.jpg,https://img.faballey.com/images/Product/ZNS00047/d6.jpg", 1750,Gold Kundan Green Drop Pearl Earring Necklace Set
"Uplift your cocktail look with this white and blue beaded kundan set. Features a statement setting of pearls, blue beads and classic kundan along with dainty stud earrings ","https://img.faballey.com/images/Product/ZNS00042/d3.jpg,https://img.faballey.com/images/Product/ZNS00042/d4.jpg,https://img.faballey.com/images/Product/ZNS00042/d5.jpg,https://img.faballey.com/images/Product/ZNS00042/d6.jpg", 1750,Gold Kundan Blue Bead Pearl Earring Necklace Set
"Make a show stopping entry with this eclectic necklace set. Features double string of pearls attached to red meenakari work outlined kundan, finished off with white pearl drops.","https://img.faballey.com/images/Product/ZNS00056/d3.jpg,https://img.faballey.com/images/Product/ZNS00056/d4.jpg,https://img.faballey.com/images/Product/ZNS00056/d5.jpg,https://img.faballey.com/images/Product/ZNS00056/d6.jpg", 2000,Dual Gold Kundan Pearl Earring Necklace Set
"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with green drop beads and matching earrings ","https://img.faballey.com/images/Product/ZNS00038/d3.jpg,https://img.faballey.com/images/Product/ZNS00038/d4.jpg,https://img.faballey.com/images/Product/ZNS00038/d5.jpg,https://img.faballey.com/images/Product/ZNS00038/d6.jpg", 2250,Gold Kundan Green Drop Double Orb Earring Necklace Set
"Classic and timeless, this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads.","https://img.faballey.com/images/Product/ZNS00053/d3.jpg,https://img.faballey.com/images/Product/ZNS00053/d4.jpg,https://img.faballey.com/images/Product/ZNS00053/d5.jpg,https://img.faballey.com/images/Product/ZNS00053/d6.jpg", 2000,Gold Kundan Multicolor Stone Earring Necklace Set
Elevate your cocktail look with a glamourous dose of bling with this white and blue diamond set. Features a white diamond necklace with a statement blue focal stone. ,"https://img.faballey.com/images/Product/ZNS00011/d3.jpg,https://img.faballey.com/images/Product/ZNS00011/d4.jpg,https://img.faballey.com/images/Product/ZNS00011/d5.jpg,https://img.faballey.com/images/Product/ZNS00011/d6.jpg", 2625,White Blue Diamond Earring Pendant Necklace Set
"Classic and timeless, this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads.","https://img.faballey.com/images/Product/ZNS00049/d3.jpg,https://img.faballey.com/images/Product/ZNS00049/d4.jpg,https://img.faballey.com/images/Product/ZNS00049/d5.jpg,https://img.faballey.com/images/Product/ZNS00049/d6.jpg", 2000,Gold Kundan Green Bead String Earring Necklace Set
Give your festive look a sparkling finish with this classic kundan and green bead set. Features a necklace crafted from layers of kundan stones accentuated with delicate green bead clusters. ,"https://img.faballey.com/images/Product/ZNS00055/d3.jpg,https://img.faballey.com/images/Product/ZNS00055/d4.jpg,https://img.faballey.com/images/Product/ZNS00055/d5.jpg,https://img.faballey.com/images/Product/ZNS00055/d6.jpg", 1750,Dual Gold Kundan Green Bead Earring Necklace Set
Add some oomph to your festive look with this white blue diamond necklace. Features blue diamonds encircled with delicate white diamonds. ,"https://img.faballey.com/images/Product/ZNS00031/d3.jpg,https://img.faballey.com/images/Product/ZNS00031/d4.jpg,https://img.faballey.com/images/Product/ZNS00031/d5.jpg,https://img.faballey.com/images/Product/ZNS00031/d6.jpg", 2875,White Blue Diamond Drop String Earring Necklace Set
